year,m,name,n,prop
2010,F,TimeSeries1,3195,0.00163272356175962
2010,F,TimeSeries2,1655,0.000845745694745594
2010,F,TimeSeries3,703,0.000359250286046014
2010,F,TimeSeries4,479,0.000244780778116701
2010,F,TimeSeries5,476,0.00024324770434979
2010,F,TimeSeries6,354,0.000180902704495432
2010,F,TimeSeries7,132,6.74552457440595e-05
2011,F,TimeSeries8,5398,0.00279205644940212
2011,F,TimeSeries1,2620,0.00135516633890952
2011,F,TimeSeries2,1409,0.000728789836459354
2011,F,TimeSeries3,729,0.000377067275215663
2011,F,TimeSeries5,488,0.000252412661598414
2011,F,TimeSeries4,427,0.000220861078898612
2011,F,TimeSeries6,332,0.000171723368136626
2011,F,TimeSeries7,167,8.63789231289653e-05
2012,F,TimeSeries8,4696,0.00242806420306393
2012,F,TimeSeries1,2327,0.00120317406314518
2012,F,TimeSeries2,1228,0.00063493672090343
2012,F,TimeSeries3,772,0.000399162173076098
2012,F,TimeSeries5,448,0.000231638152251414
2012,F,TimeSeries4,394,0.000203717482113967
2012,F,TimeSeries6,336,0.000173728614188561
2012,F,TimeSeries7,140,7.2386922578567e-05
2013,F,TimeSeries8,3936,0.00204898297876106
2013,F,TimeSeries1,1946,0.00101303884061713
2013,F,TimeSeries2,1064,0.000553891740193539
2013,F,TimeSeries3,738,0.000384184308517699
2013,F,TimeSeries5,441,0.000229573550211796
2013,F,TimeSeries4,419,0.000218120901448396
2013,F,TimeSeries6,329,0.000171269156507213
2013,F,TimeSeries7,174,9.05800402196202e-05
2014,F,TimeSeries8,3547,0.00182125980653672
2014,F,TimeSeries1,1790,0.000919102073217006
2014,F,TimeSeries2,1048,0.000538111157950515
2014,F,TimeSeries3,801,0.000411285341143476
2014,F,TimeSeries5,470,0.000241328477325136
2014,F,TimeSeries4,377,0.000193576246705481
2014,F,TimeSeries6,369,0.0001894685279425
2014,F,TimeSeries7,193,9.90987151569174e-05
2015,F,TimeSeries8,3409,0.00176165787043521
2015,F,TimeSeries1,1577,0.000814941173856356
2015,F,TimeSeries2,1013,0.000523484723599549
2015,F,TimeSeries3,757,0.000391192434121282
2015,F,TimeSeries5,423,0.000218592337692605
2015,F,TimeSeries6,346,0.00017880129749797
2015,F,TimeSeries4,346,0.00017880129749797
2015,F,TimeSeries7,186,9.61186165740535e-05